TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2019-03-14 22:00:00,29.15,33.2,22,0.1233,0.2471,84,0.0,87.65,0.0,22.65,0.54,0,1,0,0,0,0,0,0
2019-03-14 23:00:00,147.98,165.33,23,0.1233,0.2471,86,0.0,87.7,0.0,22.12,0.4,0,0,0,0,0,0,0,1
2019-03-15 00:00:00,146.83,166.99,0,0.1233,0.2471,87,0.0,87.69,0.0,21.82,0.28,0,0,0,1,0,0,0,0
2019-03-15 01:00:00,112.06,128.38,1,0.1233,0.2471,88,0.0,87.65,0.0,21.79,0.38,0,0,1,0,0,0,0,0
2019-03-15 02:00:00,84.1,95.38,2,0.1233,0.2471,91,0.0,87.6,0.0,21.06,0.28,0,0,0,1,0,0,0,0
2019-03-15 03:00:00,70.99,80.3,3,0.1233,0.2471,92,0.0,87.58,0.0,20.89,0.28,0,0,0,1,0,0,0,0
2019-03-15 04:00:00,64.95,73.47,4,0.1233,0.2471,93,0.0,87.57,0.0,20.66,0.28,0,0,0,1,0,0,0,0
2019-03-15 05:00:00,66.98,74.72,5,0.1233,0.2471,93,0.0,87.61,0.0,20.92,0.3,0,0,0,0,0,0,0,1
2019-03-15 06:00:00,77.64,84.77,6,0.1233,0.2471,94,0.0,87.64,0.57,20.85,0.47,0,0,0,0,0,0,0,1
2019-03-15 07:00:00,81.6,89.16,7,0.1233,0.2471,85,0.0,87.7,35.43,20.88,0.54,0,0,0,1,0,0,0,0
2019-03-15 08:00:00,72.84,80.19,8,0.1233,0.2471,83,0.0,87.75,225.05,22.61,0.8,0,0,0,0,1,0,0,0
2019-03-15 09:00:00,54.17,61.61,9,0.1233,0.2471,68,0.0,87.77,493.42,25.24,0.85,0,0,0,0,1,0,0,0
2019-03-15 10:00:00,43.02,49.21,10,0.1233,0.2471,61,0.0,87.78,711.22,26.68,0.94,0,0,0,0,1,0,0,0
2019-03-15 11:00:00,35.62,40.33,11,0.1233,0.2471,57,0.0,87.76,882.73,27.59,1.13,0,0,0,0,1,0,0,0
2019-03-15 12:00:00,30.57,34.37,12,0.1233,0.2471,56,0.0,87.71,821.02,27.77,1.05,0,0,0,0,1,0,0,0
2019-03-15 13:00:00,28.35,31.7,13,0.1233,0.2471,53,0.0,87.63,1003.7,28.46,1.17,0,0,0,0,1,0,0,0
2019-03-15 14:00:00,27.91,31.18,14,0.1233,0.2471,51,0.0,87.54,863.03,28.87,1.13,0,0,0,0,1,0,0,0
2019-03-15 15:00:00,27.52,30.61,15,0.1233,0.2471,52,0.0,87.47,721.87,28.86,1.1,0,0,0,0,1,0,0,0
2019-03-15 16:00:00,32.45,36.33,16,0.1233,0.2471,51,0.0,87.43,530.68,28.78,1.07,0,0,0,0,1,0,0,0
2019-03-15 17:00:00,110.72,122.18,17,0.1233,0.2471,52,0.0,87.41,297.18,28.17,0.95,0,0,0,0,1,0,0,0
2019-03-15 18:00:00,247.73,272.53,18,0.1233,0.2471,57,0.0,87.42,79.08,26.78,0.82,0,0,0,0,0,0,1,0
2019-03-15 19:00:00,271.96,301.57,19,0.1233,0.2471,65,0.0,87.45,1.12,24.91,0.59,0,0,0,0,0,0,1,0
2019-03-15 20:00:00,243.94,270.49,20,0.1233,0.2471,70,0.0,87.47,0.0,24.04,0.52,0,0,0,0,0,0,0,1
2019-03-15 21:00:00,206.76,228.82,21,0.1233,0.2471,74,0.0,87.51,0.0,23.77,0.5,0,0,0,0,0,0,0,1
